	('meanlog10(k) (a.u.) 0',)	('meantau(min) 1',)	('survivingFraction 2',)	('classificationAccuracy(theta_T) 3',)	('classificationAccuracy(fate boundary) 4',)
('192262 0', 'smCenterCompoundID: ', 'smSalt: ', 'smCenterSampleID: ', 'smLincsID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'ppName: TNF10', 'ppLincsID: 201284.0', 'antibodyName: ', 'Antibody2Name: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 1', 'proteinConcUnit: ng/ml', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-6.5999	379.1667	0.95833	0.95833	1.0
('192263 1', 'smCenterCompoundID: ', 'smSalt: ', 'smCenterSampleID: ', 'smLincsID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'ppName: TNF10', 'ppLincsID: 201284.0', 'antibodyName: ', 'Antibody2Name: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 1', 'proteinConcUnit: ng/ml', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-6.3433	245.6857	0.97714	0.97714	0.86286
('192264 2', 'smCenterCompoundID: ', 'smSalt: ', 'smCenterSampleID: ', 'smLincsID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'ppName: TNF10', 'ppLincsID: 201284.0', 'antibodyName: ', 'Antibody2Name: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 1', 'proteinConcUnit: ng/ml', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-6.5941	286.3068	0.94886	0.96591	0.89773
('192265 3', 'smCenterCompoundID: ', 'smSalt: ', 'smCenterSampleID: ', 'smLincsID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'ppName: TNF10', 'ppLincsID: 201284.0', 'antibodyName: ', 'Antibody2Name: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 5', 'proteinConcUnit: ng/ml', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.7988	282.0968	0.83871	0.93548	0.80645
('192266 4', 'smCenterCompoundID: ', 'smSalt: ', 'smCenterSampleID: ', 'smLincsID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'ppName: TNF10', 'ppLincsID: 201284.0', 'antibodyName: ', 'Antibody2Name: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 5', 'proteinConcUnit: ng/ml', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.9423	296.5797	0.90145	0.93913	0.91014
('192267 5', 'smCenterCompoundID: ', 'smSalt: ', 'smCenterSampleID: ', 'smLincsID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'ppName: TNF10', 'ppLincsID: 201284.0', 'antibodyName: ', 'Antibody2Name: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 5', 'proteinConcUnit: ng/ml', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-6.1965	283.4633	0.8945	0.92202	0.90826
('192268 6', 'smCenterCompoundID: ', 'smSalt: ', 'smCenterSampleID: ', 'smLincsID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'ppName: TNF10', 'ppLincsID: 201284.0', 'antibodyName: ', 'Antibody2Name: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 7.5', 'proteinConcUnit: ng/ml', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.8121	277.9023	0.82471	0.92241	0.85057
('192269 7', 'smCenterCompoundID: ', 'smSalt: ', 'smCenterSampleID: ', 'smLincsID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'ppName: TNF10', 'ppLincsID: 201284.0', 'antibodyName: ', 'Antibody2Name: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 7.5', 'proteinConcUnit: ng/ml', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-6.1587	268.7705	0.86885	0.91148	0.86557
('192270 8', 'smCenterCompoundID: ', 'smSalt: ', 'smCenterSampleID: ', 'smLincsID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'ppName: TNF10', 'ppLincsID: 201284.0', 'antibodyName: ', 'Antibody2Name: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 10', 'proteinConcUnit: ng/ml', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.501	258.7097	0.74194	0.90323	0.83871
('192271 9', 'smCenterCompoundID: ', 'smSalt: ', 'smCenterSampleID: ', 'smLincsID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'ppName: TNF10', 'ppLincsID: 201284.0', 'antibodyName: ', 'Antibody2Name: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 10', 'proteinConcUnit: ng/ml', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.5589	267.0455	0.78182	0.91818	0.81364
